GLOBALEVENTID,SQLDATE,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,source_type,source_domain
1246477800,20250528,THE OPPOSITION,,,,040,040,04,1,1.0,-1.98079231692678,10,Benin,9.5,2.25,https://levenementprecis.com/appel-aux-debats-contradictoires-ayadji-lance-un-defi-aux-opposants-dans-linteret-de-la-democratie/,international,levenementprecis.com
1246474439,20250528,,,ISLAM,,051,051,05,1,3.4,-7.27272727272727,10,Benin,9.5,2.25,http://www.fides.org/it/news/76415-AFRICA_BENIN_Due_attacchi_sanguinosi_dei_jihadisti_in_3_mesi_accrescono_le_preoccupazioni_della_popolazione_la_solidarieta_dei_Vescovi_ai_militari_uccisi,international,fides.org
1246452353,20250528,,,REGIME,,051,051,05,1,3.4,1.10132158590309,10,Benin,9.5,2.25,https://guardian.ng/business-services/maritime/nigeria-seeks-expansion-of-regional-digital-trade-model-to-seaports-airports/,international,guardian.ng
1246505785,20250528,COMMUNITY,,COMPANY,,060,060,06,2,6.0,-4.47154471544715,10,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/edo-community-seeks-okpebholo-oba-ewuares-intervention-over-alleged-destruction-of-farmlands/,international,dailypost.ng
1246506841,20250528,BENIN,BEN,UEMOA,WAF,057,057,05,1,8.0,1.6025641025641,10,Benin,9.5,2.25,https://lanouvelletribune.info/2025/05/infrastructures-routieres-le-benin-prepare-un-bond-en-avant-avec-le-soutien-de-luemoa/,international,lanouvelletribune.info
1246507382,20250528,UEMOA,WAF,BENIN,BEN,057,057,05,1,8.0,1.6025641025641,10,Benin,9.5,2.25,https://lanouvelletribune.info/2025/05/infrastructures-routieres-le-benin-prepare-un-bond-en-avant-avec-le-soutien-de-luemoa/,international,lanouvelletribune.info
1246521746,20250528,GOVERNOR,,,,050,050,05,1,3.5,-0.80645161290322,10,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/okpebholo-promises-amnesty-to-cultists-illegal-possessors-of-firearms-ammunition/,international,dailypost.ng
1246521750,20250528,STATE GOVERNOR,,,,056,056,05,1,7.0,-0.80645161290322,10,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/okpebholo-promises-amnesty-to-cultists-illegal-possessors-of-firearms-ammunition/,international,dailypost.ng
1246561760,20250528,GANG,,,,042,042,04,1,1.9,-9.11949685534591,10,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/angry-mob-beats-female-member-of-one-chance-gang-to-pulp-in-edo/,international,dailypost.ng
1246561455,20250528,,,GANG,,043,043,04,1,2.8,-9.11949685534591,10,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/angry-mob-beats-female-member-of-one-chance-gang-to-pulp-in-edo/,international,dailypost.ng
1246592466,20250528,BENIN,BEN,TOGO,TGO,040,040,04,1,1.0,2.39234449760765,10,"Monte Carlo, Monaco (general), Monaco",43.7393,7.42738,https://www.parismatch.com/Royal-Blog/qui-est-alexandre-grimaldi-le-demi-frere-de-jazmin-grace-et-de-jaques-et-gabriella-de-monaco-252056,international,parismatch.com
1246582663,20250528,COMMUNITY,,GOVERNOR,,051,051,05,1,3.4,1.20481927710844,10,Benin,9.5,2.25,https://www.nationalaccordnewspaper.com/okpebholo-offers-amnesty-to-cultists-holders-of-illegal-arms-in-edo/,international,nationalaccordnewspaper.com
1246491884,20250528,BENIN,BEN,NIGERIAN,NGA,051,051,05,1,3.4,4.63821892393321,6,"Couffo, Kouffo, Benin",7.08333,1.83333,https://guardian.ng/news/benin-warship-relaunched-in-lagos-after-repairs-by-nigerian-naval-dockyard/,international,guardian.ng
1246552338,20250528,BISHOP,,TERRORIST GROUP,,051,051,05,1,3.4,-5.7356608478803,5,"Koudou, Benin (general), Benin",10.8945,1.16328,https://allafrica.com/stories/202505280344.html,regional,allafrica.com
1246491883,20250528,BENIN,BEN,NIGERIAN,NGA,051,051,05,1,3.4,4.63821892393321,4,"Couffo, Kouffo, Benin",7.08333,1.83333,https://guardian.ng/news/benin-warship-relaunched-in-lagos-after-repairs-by-nigerian-naval-dockyard/,international,guardian.ng
1246421887,20250528,BENIN,BEN,,,051,051,05,1,3.4,9.5522388059702,3,Benin,9.5,2.25,https://thesun.ng/edo-pdp-holds-stakeholders-meeting-reaffirms-confidence-on-reclaiming-mandate/,international,thesun.ng
1246521257,20250528,BENIN,BEN,GOVERNOR,,051,051,05,1,3.4,-0.80645161290322,3,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/okpebholo-promises-amnesty-to-cultists-illegal-possessors-of-firearms-ammunition/,international,dailypost.ng
1246567048,20250528,BENIN,BEN,,,042,042,04,1,1.9,-2.87769784172662,2,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/degree-mills-reps-summon-private-varsities-vice-chancellors/,international,dailypost.ng
1246566806,20250528,,,BENIN,BEN,043,043,04,1,2.8,-2.87769784172662,2,Benin,9.5,2.25,https://dailypost.ng/2025/05/28/degree-mills-reps-summon-private-varsities-vice-chancellors/,international,dailypost.ng
1246705896,20250529,GOVERNMENT,,,,051,051,05,1,3.4,-4.4145815574387,10,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/eirs-dismisses-allegations-by-ex-commissioner-defends-rising-igr-profile/,international,nigerianobservernews.com
1246769333,20250529,AFRICA,AFR,,,057,057,05,1,8.0,5.64971751412429,10,Benin,9.5,2.25,https://www.financialafrik.com/2025/05/29/la-bidc-et-atidi-sassocient-pour-soutenir-lactivite-economique-dans-la-sous-region-ouest-africaine/,international,financialafrik.com
1246641992,20250529,MOSCOW,RUS,BENIN,BEN,061,061,06,2,6.4,-0.12853470437018,8,Benin,9.5,2.25,https://punchng.com/safrica-overtakes-nigeria-as-africas-top-fuel-importer-report/,international,punchng.com
1246825219,20250529,FRENCH,FRA,NIGER,NER,042,042,04,1,1.9,-2.17983651226158,8,Benin,9.5,2.25,https://www.afrik.com/alassane-ouattara-et-ali-mahaman-lamine-zeine-une-poignee-de-main-pas-comme-les-autres,international,afrik.com
1246825357,20250529,NIGER,NER,FRENCH,FRA,043,043,04,1,2.8,-2.17983651226158,8,Benin,9.5,2.25,https://www.afrik.com/alassane-ouattara-et-ali-mahaman-lamine-zeine-une-poignee-de-main-pas-comme-les-autres,international,afrik.com
1246688437,20250529,MINIST,,,,060,060,06,2,6.0,-2.6302478502782,6,Benin,9.5,2.25,http://lesoftonline.net/articles/la-justice-%c3%a9l%c3%a8ve-une-nation,international,lesoftonline.net
1246641995,20250529,MOSCOW,RUS,BURKINA FASO,BFA,061,061,06,2,6.4,-0.12853470437018,6,Benin,9.5,2.25,https://punchng.com/safrica-overtakes-nigeria-as-africas-top-fuel-importer-report/,international,punchng.com
1246641998,20250529,MOSCOW,RUS,CAMEROON,CMR,061,061,06,2,6.4,-0.12853470437018,6,Benin,9.5,2.25,https://punchng.com/safrica-overtakes-nigeria-as-africas-top-fuel-importer-report/,international,punchng.com
1246626232,20250529,GOVERNMENT,,INTELLIGENCE,,051,051,05,1,3.4,-7.34341252699784,6,Benin,9.5,2.25,https://saharareporters.com/2025/05/28/edo-governor-offers-amnesty-cultists,international,saharareporters.com
1246825360,20250529,NIGER,NER,NIGER,NER,040,040,04,1,1.0,-2.17983651226158,6,Benin,9.5,2.25,https://www.afrik.com/alassane-ouattara-et-ali-mahaman-lamine-zeine-une-poignee-de-main-pas-comme-les-autres,international,afrik.com
1246716299,20250529,BENIN,BEN,AFRICA,AFR,051,051,05,1,3.4,0.0,4,Benin,9.5,2.25,https://www.tanzanianewsreports.com/uneca-unctad-convene-regional-dialogue-to-boost-climate-financing-for-african-sids/,international,tanzanianewsreports.com
1246625563,20250529,BENIN,BEN,INTELLIGENCE,,051,051,05,1,3.4,-7.34341252699784,4,Benin,9.5,2.25,https://saharareporters.com/2025/05/28/edo-governor-offers-amnesty-cultists,international,saharareporters.com
1246705492,20250529,BENIN,BEN,GOVERNMENT,,051,051,05,1,3.4,1.49253731343283,2,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/cultists-arms-holders-in-edo-get-amnesty/,international,nigerianobservernews.com
1246716566,20250529,ETHIOPIAN,ETH,ETHIOPIA,ETH,040,040,04,1,1.0,0.0,2,Benin,9.5,2.25,https://www.tanzanianewsreports.com/uneca-unctad-convene-regional-dialogue-to-boost-climate-financing-for-african-sids/,international,tanzanianewsreports.com
1246682738,20250529,BENIN,BEN,COMPANY,,051,051,05,1,3.4,4.56026058631922,2,Benin,9.5,2.25,https://guardian.ng/features/health/110634-benefit-from-nepl-seplat-energy-healthcare-scheme/,international,guardian.ng
1246641997,20250529,RUSSIA,RUS,CAMEROON,CMR,061,061,06,2,6.4,-0.12853470437018,2,Benin,9.5,2.25,https://punchng.com/safrica-overtakes-nigeria-as-africas-top-fuel-importer-report/,international,punchng.com
1246641994,20250529,RUSSIA,RUS,BURKINA FASO,BFA,061,061,06,2,6.4,-0.12853470437018,2,Benin,9.5,2.25,https://punchng.com/safrica-overtakes-nigeria-as-africas-top-fuel-importer-report/,international,punchng.com
1246738519,20250529,BENIN,BEN,GHANA,GHA,061,061,06,2,6.4,-1.67224080267558,2,"Vietnam, Republic Of",16.166667,107.833333,https://www.thehindubusinessline.com/economy/agri-business/indias-cashew-nuts-exports-down-50-in-the-past-15-years/article69633333.ece,international,thehindubusinessline.com
1246825361,20250529,NIGER,NER,NIGER,NER,040,040,04,1,1.0,-2.17983651226158,2,Benin,9.5,2.25,https://www.afrik.com/alassane-ouattara-et-ali-mahaman-lamine-zeine-une-poignee-de-main-pas-comme-les-autres,international,afrik.com
1246884010,20250530,BENIN CITY,NGA,,,043,043,04,1,2.8,1.38017565872021,10,Benin,9.5,2.25,https://guardian.ng/opinion/columnists/money-for-justice-how-censorship-undermines-democracy/,international,guardian.ng
1247009005,20250530,AFRICA,AFR,,,057,057,05,1,8.0,5.64971751412429,10,Benin,9.5,2.25,https://www.financialafrik.com/2025/05/30/la-bidc-et-atidi-sassocient-pour-soutenir-lactivite-economique-dans-la-sous-region-ouest-africaine-2/,international,financialafrik.com
1246999961,20250530,GOVERNOR,,CONGRESS,,051,051,05,1,3.4,1.54798761609907,8,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/okpebholo-idahosa-apc-leaders-celebrate-appeal-court-victory-in-benin/,international,nigerianobservernews.com
1246999889,20250530,GOVERNOR,,,,051,051,05,1,3.4,1.54798761609907,6,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/okpebholo-idahosa-apc-leaders-celebrate-appeal-court-victory-in-benin/,international,nigerianobservernews.com
1246999459,20250530,BENIN,BEN,,,051,051,05,1,3.4,1.54798761609907,3,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/okpebholo-idahosa-apc-leaders-celebrate-appeal-court-victory-in-benin/,international,nigerianobservernews.com
1246984401,20250530,PRESIDENT,,BENIN,BEN,051,051,05,1,3.4,2.58899676375405,2,Benin,9.5,2.25,https://punchng.com/pdps-defeats-bring-joy-okpebholo/,international,punchng.com
1246999460,20250530,BENIN,BEN,CONGRESS,,051,051,05,1,3.4,1.54798761609907,2,Benin,9.5,2.25,https://nigerianobservernews.com/2025/05/okpebholo-idahosa-apc-leaders-celebrate-appeal-court-victory-in-benin/,international,nigerianobservernews.com
1246953362,20250530,GERMANY,DEU,BENIN,BEN,040,040,04,1,1.0,0.0748502994011901,2,Benin,9.5,2.25,https://www.dw.com/en/how-museum-island-embodies-berlins-tumultuous-history/a-72687373,international,dw.com
1246953361,20250530,GERMANY,DEU,BENIN,BEN,040,040,04,1,1.0,0.0748502994011901,1,"Berlin, Berlin, Germany",52.5167,13.4,https://www.dw.com/en/how-museum-island-embodies-berlins-tumultuous-history/a-72687373,international,dw.com
1247062976,20250531,BENIN,BEN,MINIST,,040,040,04,1,1.0,2.72727272727273,10,Benin,9.5,2.25,http://spanish.xinhuanet.com/20250531/3412a07dc1d94d11b1cc5eaa39298440/c.html,international,spanish.xinhuanet.com
1247063074,20250531,MINIST,,BENIN,BEN,040,040,04,1,1.0,2.72727272727273,10,Benin,9.5,2.25,http://spanish.xinhuanet.com/20250531/3412a07dc1d94d11b1cc5eaa39298440/c.html,international,spanish.xinhuanet.com
1247155995,20250531,DEPUTY,,RESIDENTS,,051,051,05,1,3.4,0.26455026455027,10,Benin,9.5,2.25,https://tribuneonlineng.com/edo-deputy-gov-monitors-sanitation-exercise-96-defaulters-arrested-in-oredo/,international,tribuneonlineng.com
1247125646,20250531,BENIN,BEN,FINLAND,FIN,043,043,04,1,2.8,-1.01010101010101,10,Benin,9.5,2.25,https://www.cameroun24.net/actualite-cameroun-Maria_Grazia_Chiuri_quitte_Dior_apres_neuf_ans___F-3-3-69023.html,international,cameroun24.net
1247125771,20250531,FINLAND,FIN,BENIN,BEN,042,042,04,1,1.9,-1.01010101010101,10,Benin,9.5,2.25,https://www.cameroun24.net/actualite-cameroun-Maria_Grazia_Chiuri_quitte_Dior_apres_neuf_ans___F-3-3-69023.html,international,cameroun24.net
1247120003,20250531,ZIMBABWE,ZWE,AFRICA,AFR,042,042,04,1,1.9,6.86106346483705,10,Benin,9.5,2.25,https://www.legit.ng/entertainment/celebrities/1657682-annie-idibia-macaulay-arrives-zimbabwe-international-guest-honour-prestigious-event/,international,legit.ng
1247067616,20250531,COMMUNITY,,,,051,051,05,1,3.4,4.95495495495496,6,Benin,9.5,2.25,https://guardian.ng/news/how-dr-helen-chukwuemeke-is-transforming-nigerias-learning-landscape/,international,guardian.ng
1247035450,20250531,CHINA,CHN,BENINESE,BEN,040,040,04,1,1.0,3.53697749196142,6,Benin,9.5,2.25,http://www.bignewsnetwork.com/news/278249727/iomed-to-provide-pathways-for-international-dispute-resolution-chinese-fm,international,bignewsnetwork.com
1247035326,20250531,BENINESE,BEN,CHINA,CHN,040,040,04,1,1.0,3.53697749196142,6,Benin,9.5,2.25,http://www.bignewsnetwork.com/news/278249727/iomed-to-provide-pathways-for-international-dispute-resolution-chinese-fm,international,bignewsnetwork.com
1247059567,20250531,CHINA,CHN,BENINESE,BEN,040,040,04,1,1.0,3.33333333333334,6,China,35.0,105.0,http://www.china.org.cn/2025-05/31/content_117905128.shtml,international,china.org.cn
