date,source,type,titre,resume,url,texte_analyse,theme_principal,tags_secondaires,tous_les_tags
2025-06-30,Matin Libre,wordpress,Grand Prix Littéraire du Bénin Edition 2025: Les potentiels candidats appelés à postuler,"Le Grand Prix Littéraire du Bénin est une manifestation officielle du Ministère du Tourisme, de la Culture et des Arts, mise en œuvre par l’Agence de Développement des Arts et de la Culture. Il s’agit d’une compétition nationale annuelle qui sacre à chaque édition, les œuvres littéraires écrites en français par des auteurs de nationalité […]",https://matinlibre.com/2025/06/30/grand-prix-litteraire-du-benin-edition-2025-les-potentiels-candidats-appeles-a-postuler/,"Grand Prix Littéraire du Bénin Edition 2025: Les potentiels candidats appelés à postuler. Le Grand Prix Littéraire du Bénin est une manifestation officielle du Ministère du Tourisme, de la Culture et des Arts, mise en œuvre par l’Agence de Développement des Arts et de la Culture. Il s’agit d’une compétition nationale annuelle qui sacre à chaque édition, les œuvres littéraires écrites en français par des auteurs de nationalité […]",tourisme,diaspora_retour,"tourisme, diaspora_retour"
2026-03-28,Le Matinal,wordpress,Pour falsification d’une quittance de 40 000 FCfa : Un étudiant condamné à 12 mois de prison assorti de sursis,"Un étudiant a été présenté en milieu de semaine dernière au tribunal de première instance d’Abomey-Calavi pour avoir falsifié une quittance de 40 000 FCfa. Selon le récit des faits, le mis en cause a perçu 40 000 FCfa auprès de sa victime afin de lui faire un paiement. Mais l’étudiant n’a pas honoré ses […]",https://lematinal.bj/pour-falsification-dune-quittance-de-40-000-fcfa-un-etudiant-condamne-a-12-mois-de-prison-assorti-de-sursis/,"Pour falsification d’une quittance de 40 000 FCfa : Un étudiant condamné à 12 mois de prison assorti de sursis. Un étudiant a été présenté en milieu de semaine dernière au tribunal de première instance d’Abomey-Calavi pour avoir falsifié une quittance de 40 000 FCfa. Selon le récit des faits, le mis en cause a perçu 40 000 FCfa auprès de sa victime afin de lui faire un paiement. Mais l’étudiant n’a pas honoré ses […]",fiscalite_reglementation,"foncier_immobilier, infrastructure_energie, agriculture_agrobusiness, industrie_GDIZ, relations_internationales, diaspora_retour, vie_quotidienne","fiscalite_reglementation, foncier_immobilier, infrastructure_energie, agriculture_agrobusiness, industrie_GDIZ, relations_internationales, diaspora_retour, vie_quotidienne"
2026-05-13,Matin Libre,wordpress,Bénin/ Gdiz : Une révolution industrielle qui a définitivement pris corps,"Avec 18 unités opérationnelles et plus de 25 000 emplois générés, la Zone Industrielle de Glo-Djigbé (Gdiz) se positionne comme le moteur de la transformation économique du Bénin. En mettant l’accent sur la valorisation locale des matières premières, cet écosystème ambitieux propulse le Made in Benin sur la scène internationale. Pendant des décennies, l’économie béninoise, […]",https://matinlibre.com/2026/05/13/benin-gdiz-une-revolution-industrielle-qui-a-definitivement-pris-corps/,"Bénin/ Gdiz : Une révolution industrielle qui a définitivement pris corps. Avec 18 unités opérationnelles et plus de 25 000 emplois générés, la Zone Industrielle de Glo-Djigbé (Gdiz) se positionne comme le moteur de la transformation économique du Bénin. En mettant l’accent sur la valorisation locale des matières premières, cet écosystème ambitieux propulse le Made in Benin sur la scène internationale. Pendant des décennies, l’économie béninoise, […]",industrie_GDIZ,"croissance_economique, creation_entreprise, numerique_innovation, opportunites_investissement, relations_internationales, fiscalite_reglementation, vie_quotidienne","industrie_GDIZ, croissance_economique, creation_entreprise, numerique_innovation, opportunites_investissement, relations_internationales, fiscalite_reglementation, vie_quotidienne"
2025-05-13,Le Matinal,wordpress,Pour « fautes commises » : Alain Adihou et cinq responsables de la Fcbe suspendus,"Alain Adihou, conseiller politique et cinq autres responsables ne sont plus membres de la Force cauris pour un Bénin émergent (Fcbe). Pour « fautes commises», ils ont été suspendus provisoirement des activités de la formation politique de l’opposition par le Bureau exécutif national (Ben) lors de sa 2ème session ordinaire tenue à Bohicon le 03 […]",https://lematinal.bj/pour-fautes-commises-alain-adihou-et-cinq-responsables-de-la-fcbe-suspendus/,"Pour « fautes commises » : Alain Adihou et cinq responsables de la Fcbe suspendus. Alain Adihou, conseiller politique et cinq autres responsables ne sont plus membres de la Force cauris pour un Bénin émergent (Fcbe). Pour « fautes commises», ils ont été suspendus provisoirement des activités de la formation politique de l’opposition par le Bureau exécutif national (Ben) lors de sa 2ème session ordinaire tenue à Bohicon le 03 […]",gouvernance_institutionnelle,"diaspora_retour, vie_quotidienne, agriculture_agrobusiness, fiscalite_reglementation, infrastructure_energie, relations_internationales, croissance_economique","gouvernance_institutionnelle, diaspora_retour, vie_quotidienne, agriculture_agrobusiness, fiscalite_reglementation, infrastructure_energie, relations_internationales, croissance_economique"
2025-12-26,Matin Libre,wordpress,Communales et législatives de 2026: Sacca Lafia déclare la campagne ouverte,"Les Béninois iront aux urnes le 11 janvier 2026 pour élire à la fois les députés de 10e législature et les élus communaux et municipaux. Aujourd’hui, vendredi 26 décembre 2025, démarre la campagne électorale jusqu’au 9 janvier 2026. Lire l’allocution de lancement du président de la Céna, Sacca Lafia. ALLOCUTION DU PRESIDENT SACCA LAFIA POUR […]",https://matinlibre.com/2025/12/26/communales-et-legislatives-de-2026-sacca-lafia-declare-la-campagne-ouverte/,"Communales et législatives de 2026: Sacca Lafia déclare la campagne ouverte. Les Béninois iront aux urnes le 11 janvier 2026 pour élire à la fois les députés de 10e législature et les élus communaux et municipaux. Aujourd’hui, vendredi 26 décembre 2025, démarre la campagne électorale jusqu’au 9 janvier 2026. Lire l’allocution de lancement du président de la Céna, Sacca Lafia. ALLOCUTION DU PRESIDENT SACCA LAFIA POUR […]",foncier_immobilier,"agriculture_agrobusiness, gouvernance_institutionnelle, vodun_culture_religieuse, culture_identite, numerique_innovation, infrastructure_energie, creation_entreprise, fiscalite_reglementation, industrie_GDIZ, relations_internationales, croissance_economique, diaspora_retour, opportunites_investissement, environnement_climat, sante_education, vie_quotidienne, droits_libertes","foncier_immobilier, agriculture_agrobusiness, gouvernance_institutionnelle, vodun_culture_religieuse, culture_identite, numerique_innovation, infrastructure_energie, creation_entreprise, fiscalite_reglementation, industrie_GDIZ, relations_internationales, croissance_economique, diaspora_retour, opportunites_investissement, environnement_climat, sante_education, vie_quotidienne, droits_libertes"
2026-01-13,La Nouvelle Tribune,wordpress,CAN 2025 : des supporters algériens devant la justice marocaine,"La Coupe d’Afrique des nations 2025 entre dans sa phase finale. À quelques heures des demi-finales prévues ce mercredi 14 janvier, la compétition mobilise des milliers de supporters venus de tout le continent, dans une atmosphère marquée par une ferveur intense autour des stades, des fans zones et des grandes villes hôtes. Cette affluence exceptionnelle … Continuer la lecture",https://lanouvelletribune.info/2026/01/can-2025-des-supporters-algeriens-devant-la-justice-marocaine/,"CAN 2025 : des supporters algériens devant la justice marocaine. La Coupe d’Afrique des nations 2025 entre dans sa phase finale. À quelques heures des demi-finales prévues ce mercredi 14 janvier, la compétition mobilise des milliers de supporters venus de tout le continent, dans une atmosphère marquée par une ferveur intense autour des stades, des fans zones et des grandes villes hôtes. Cette affluence exceptionnelle … Continuer la lecture",creation_entreprise,"diaspora_retour, agriculture_agrobusiness, numerique_innovation, relations_internationales, culture_identite","creation_entreprise, diaspora_retour, agriculture_agrobusiness, numerique_innovation, relations_internationales, culture_identite"
2026-01-26,La Nouvelle Tribune,wordpress,Nucléraire : Medvedev vante les capacités de la Russie,"Ancien président de la Fédération de Russie entre 2008 et 2012, puis Premier ministre, Dmitri Medvedev occupe aujourd’hui le poste stratégique de vice-président du Conseil de sécurité russe, un organe central dans la définition des grandes orientations de défense et de sécurité du pays. Depuis plusieurs années, et plus encore depuis la dégradation des équilibres … Continuer la lecture",https://lanouvelletribune.info/2026/01/nucleraire-medvedev-vante-les-capacites-de-la-russie/,"Nucléraire : Medvedev vante les capacités de la Russie. Ancien président de la Fédération de Russie entre 2008 et 2012, puis Premier ministre, Dmitri Medvedev occupe aujourd’hui le poste stratégique de vice-président du Conseil de sécurité russe, un organe central dans la définition des grandes orientations de défense et de sécurité du pays. Depuis plusieurs années, et plus encore depuis la dégradation des équilibres … Continuer la lecture",gouvernance_institutionnelle,"numerique_innovation, securite_stabilite","gouvernance_institutionnelle, numerique_innovation, securite_stabilite"
2026-03-12,Le Matinal,wordpress,Élections au Cns-B : Le groupe des Combattants lance l’offensive avec Eddie Gannyi-Akué,"À quelques mois du renouvellement des instances du Conseil national des supporters du Bénin (Cns-B), le groupe des Combattants a officiellement dévoilé ses ambitions le mercredi 11 mars 2026 à Cotonou. Porté par une volonté de rupture dans la gouvernance, le mouvement a plébiscité Eddie Gannyi-Akué comme candidat pour succéder à l’actuelle équipe dirigeante lors […]",https://lematinal.bj/elections-au-cns-b-le-groupe-des-combattants-lance-loffensive-avec-eddie-gannyi-akue/,"Élections au Cns-B : Le groupe des Combattants lance l’offensive avec Eddie Gannyi-Akué. À quelques mois du renouvellement des instances du Conseil national des supporters du Bénin (Cns-B), le groupe des Combattants a officiellement dévoilé ses ambitions le mercredi 11 mars 2026 à Cotonou. Porté par une volonté de rupture dans la gouvernance, le mouvement a plébiscité Eddie Gannyi-Akué comme candidat pour succéder à l’actuelle équipe dirigeante lors […]",gouvernance_institutionnelle,"diaspora_retour, infrastructure_energie, fiscalite_reglementation, numerique_innovation, agriculture_agrobusiness, culture_identite","gouvernance_institutionnelle, diaspora_retour, infrastructure_energie, fiscalite_reglementation, numerique_innovation, agriculture_agrobusiness, culture_identite"
2025-05-15,La Nouvelle Tribune,wordpress,Gazoducs du Maghreb : les bienfaits pour l'Afrique exposés par un des rivaux,"Deux grands projets de gazoducs traversent aujourd’hui le Maghreb et cristallisent des ambitions énergétiques opposées. D’un côté, le gazoduc transsaharien (TSGP), soutenu par l’Algérie, vise à relier le Nigéria à l’Europe via le Niger et le territoire algérien. De l’autre, le projet Nigeria-Maroc, aussi appelé « Atlas », avance sous l’impulsion de Rabat et prévoit … Continuer la lecture",https://lanouvelletribune.info/2025/05/gazoducs-du-maghreb-les-bienfaits-pour-lafrique-exposes-par-un-des-rivaux/,"Gazoducs du Maghreb : les bienfaits pour l'Afrique exposés par un des rivaux. Deux grands projets de gazoducs traversent aujourd’hui le Maghreb et cristallisent des ambitions énergétiques opposées. D’un côté, le gazoduc transsaharien (TSGP), soutenu par l’Algérie, vise à relier le Nigéria à l’Europe via le Niger et le territoire algérien. De l’autre, le projet Nigeria-Maroc, aussi appelé « Atlas », avance sous l’impulsion de Rabat et prévoit … Continuer la lecture",infrastructure_energie,opportunites_investissement,"infrastructure_energie, opportunites_investissement"
2026-04-01,La Nouvelle Tribune,wordpress,"Discours sur l'Iran : Trump promet la victoire, mais n'annonce rien de nouveau","Donald Trump a prononcé dans la nuit du 1er au 2 avril 2026, depuis la Maison Blanche, sa première allocution solennelle à la nation depuis le déclenchement de l’opération militaire « Fureur épique » contre l’Iran, le 28 février. Le président américain avait promis une mise au point « importante » sur un conflit qui le fragilise … Continuer la lecture",https://lanouvelletribune.info/2026/04/discours-sur-liran-trump-promet-la-victoire-mais-nannonce-rien-de-nouveau/,"Discours sur l'Iran : Trump promet la victoire, mais n'annonce rien de nouveau. Donald Trump a prononcé dans la nuit du 1er au 2 avril 2026, depuis la Maison Blanche, sa première allocution solennelle à la nation depuis le déclenchement de l’opération militaire « Fureur épique » contre l’Iran, le 28 février. Le président américain avait promis une mise au point « importante » sur un conflit qui le fragilise … Continuer la lecture",general,,general
