fips_pays,annee,mois,nb_evenements,nb_articles_total,ton_moyen,goldstein_moyen,ton_volatilite,nb_conflits,pct_conflits,nb_cooperation,pct_cooperation,mentions_moyennes,pays_nom
BN,2025,5,144,905,-0.7531185820454288,1.3000000000000003,4.799514551751417,29,20.14,115,79.86,6.284722222222222,Benin
CM,2025,5,289,1901,-1.6287981035052992,0.5128027681660899,4.310869933223183,64,22.15,225,77.85,6.591695501730104,Cameroun
GH,2025,5,3388,18315,-0.1731142627886831,1.1601829988193624,4.749374457982482,730,21.55,2658,78.45,5.54634002361275,Ghana
NG,2025,5,618,3142,-3.1802641112899055,0.6783171521035597,4.317368325633191,128,20.71,490,79.29,5.1294498381877025,Niger
NI,2025,5,13109,59880,-1.3708671964688837,0.5138759630788011,4.969579788382522,3433,26.19,9676,73.81,4.62476161415821,Nigeria
TO,2025,5,127,824,-0.31654727394559456,2.1267716535433068,4.791779408182519,24,18.9,103,81.1,6.488188976377952,Togo
UV,2025,5,390,2045,-1.1634804111451351,1.643333333333333,3.8402623252763326,86,22.05,304,77.95,5.2846153846153845,Burkina Faso
BN,2025,6,908,5334,-1.6052766941499668,0.6988986784140968,4.802607783623394,226,24.89,682,75.11,5.964757709251101,Benin
CM,2025,6,1310,8884,-1.9355909028028653,0.886488549618321,4.699962602934983,323,24.66,987,75.34,6.857251908396946,Cameroun
GH,2025,6,11199,59626,-0.27477663365506205,1.2002500223234223,4.759156113134951,2356,21.04,8843,78.96,5.424680775069203,Ghana
NG,2025,6,1982,12108,-2.2066197563796917,0.8904641775983855,4.35892587468428,479,24.17,1503,75.83,6.198789101917253,Niger
NI,2025,6,44458,192133,-1.0229149268025348,0.4874713212470198,4.694029700678145,11637,26.18,32821,73.82,4.3864096450582535,Nigeria
TO,2025,6,559,3648,-2.619083712048575,0.20071556350626119,4.899226176746869,192,34.35,367,65.65,6.626118067978533,Togo
UV,2025,6,859,4857,-1.82385767697679,0.24982537834691498,4.277496495923442,264,30.73,595,69.27,5.79743888242142,Burkina Faso
BN,2025,7,2284,12031,-1.0735604463477777,0.9145359019264448,4.537330622257039,524,22.94,1760,77.06,5.376970227670753,Benin
CM,2025,7,2801,18169,-1.101762123361602,1.215173152445555,3.90919566014553,615,21.96,2186,78.04,6.635844341306674,Cameroun
GH,2025,7,29596,154386,0.04060869496176225,1.210633193674821,4.814145741679747,5939,20.07,23657,79.93,5.3235910258143,Ghana
NG,2025,7,3763,21284,-2.8208252074816946,-0.013473292585702925,4.559852157208001,1130,30.03,2633,69.97,5.743024182832846,Niger
NI,2025,7,131689,560752,-1.120313688640697,0.5934026380335483,4.34594030754487,33649,25.55,98040,74.45,4.318629498287631,Nigeria
TO,2025,7,1192,8065,-3.6704895732871723,-0.00864093959731545,4.503809411681518,432,36.24,760,63.76,6.955536912751678,Togo
UV,2025,7,1843,12243,-1.6227650943014296,0.6753119913185023,4.62241262852801,490,26.59,1353,73.41,6.74660879001628,Burkina Faso
BN,2025,8,1516,8762,-1.4195978391924153,0.8135224274406334,4.9333060590510955,382,25.2,1134,74.8,5.866754617414248,Benin
CM,2025,8,2825,18567,-2.257489493246917,0.6212743362831858,3.9782940517553764,792,28.04,2033,71.96,6.672212389380531,Cameroun
GH,2025,8,25783,133054,-0.6726197621710613,1.2089671488965599,4.75144451094037,4882,18.93,20901,81.07,5.273009347244306,Ghana
NG,2025,8,3819,21646,-2.3478341310947863,-0.018329405603561034,4.359461017114908,1179,30.87,2640,69.13,5.749934537837131,Niger
NI,2025,8,109091,470248,-1.4977372323322435,0.39727200227333137,4.736869171549658,30588,28.04,78503,71.96,4.36469552942039,Nigeria
TO,2025,8,801,5039,-1.3136005134243,1.2657927590511857,4.233981257244327,176,21.97,625,78.03,6.372034956304619,Togo
UV,2025,8,2026,13116,-2.0416877718342206,0.7326752221125371,4.487167644942219,557,27.49,1469,72.51,6.628331688055281,Burkina Faso
BN,2025,9,1630,8937,-1.1422954481044043,0.6233742331288341,4.758294673379259,396,24.29,1234,75.71,5.615337423312883,Benin
CM,2025,9,2427,15917,-2.2013125032693948,1.0796456530696334,4.644788608674821,597,24.6,1830,75.4,6.703337453646477,Cameroun
GH,2025,9,25940,136045,-0.5645552739938942,1.1081380107941408,4.920530803926072,5715,22.03,20225,77.97,5.369198149575946,Ghana
NG,2025,9,3608,19955,-3.8411935586248287,0.04548226164079826,4.755838418949167,1290,35.75,2318,64.25,5.613636363636362,Niger
NI,2025,9,100492,433971,-1.6124149782666461,0.38462862715440016,4.992815448743722,27750,27.61,72742,72.39,4.372069418461175,Nigeria
TO,2025,9,1388,7263,0.0768643492657036,2.05979827089337,4.730224916264207,225,16.21,1163,83.79,5.29034582132565,Togo
UV,2025,9,2317,14342,-1.4981635003690323,0.7760466119982737,4.20368255662688,640,27.62,1677,72.38,6.340958135520067,Burkina Faso
BN,2025,10,1676,10028,-0.03211439007457122,1.1059069212410502,4.486988952973678,332,19.81,1344,80.19,6.055489260143198,Benin
CM,2025,10,5753,37841,-3.489249254864233,-0.6308708499913092,3.9050610592567008,2208,38.38,3545,61.62,6.665391969407267,Cameroun
GH,2025,10,28160,148905,0.35118720779078244,1.313742897727273,4.7230046187745875,5318,18.88,22842,81.12,5.39140625,Ghana
NG,2025,10,3187,17986,-2.782710879690391,0.1738625666771259,4.829087595295877,982,30.81,2205,69.19,5.754941951678697,Niger
NI,2025,10,100826,433626,-1.4555825134982008,0.4095887965405747,4.794043743214704,27943,27.71,72883,72.29,4.362128815980006,Nigeria
TO,2025,10,841,5740,-0.7597545514170537,1.5102259215219975,4.443472864396802,167,19.86,674,80.14,6.985731272294887,Togo
UV,2025,10,2130,13666,-1.3383813619197313,0.8624413145539904,4.1823243470208435,536,25.16,1594,74.84,6.5605633802816925,Burkina Faso
BN,2025,11,1789,10227,-0.7080895000378236,0.6496366685299052,4.385259025647775,423,23.64,1366,76.36,5.785354946897709,Benin
CM,2025,11,2834,18763,-2.4797255188310863,0.5347565278757941,4.445600351411481,778,27.45,2056,72.55,6.720536344389555,Cameroun
GH,2025,11,25377,135338,0.18140474673666604,1.2066989793907872,4.907056889713703,4954,19.52,20423,80.48,5.431217243961064,Ghana
NG,2025,11,4791,25550,-3.552527496840445,-1.1577958672510957,4.04571901897754,1953,40.76,2838,59.24,5.399707785431018,Niger
NI,2025,11,119490,528069,-2.768517432575077,-0.4276767930370742,4.665079725090885,41007,34.32,78483,65.68,4.474491589254332,Nigeria
TO,2025,11,724,4605,0.6696261399291685,1.6651933701657455,4.49651165887082,113,15.61,611,84.39,6.4779005524861875,Togo
UV,2025,11,1781,10653,-0.516810669666982,1.5745648512071873,4.544176306767894,358,20.1,1423,79.9,6.169006176305447,Burkina Faso
BN,2025,12,4221,24076,-2.6462105138821665,0.15837479270315097,3.417974018976616,1339,31.72,2882,68.28,5.769485903814261,Benin
CM,2025,12,2700,16493,-2.5129339933329136,0.6981481481481482,5.061394284057352,671,24.85,2029,75.15,6.177777777777779,Cameroun
GH,2025,12,22176,119873,0.2292534477974359,1.2816783910533904,4.882851377224932,4330,19.53,17846,80.47,5.512085137085138,Ghana
NG,2025,12,4419,23719,-2.3496459082280383,0.29232858112695187,3.743921962324871,1292,29.24,3127,70.76,5.440144829146867,Niger
NI,2025,12,105833,463603,-1.8522979274300744,0.13747129912220185,4.588207783425848,30882,29.18,74951,70.82,4.437547834796333,Nigeria
TO,2025,12,908,5928,-0.8379911031243972,1.1571585903083699,3.9591496576233127,224,24.67,684,75.33,6.650881057268721,Togo
UV,2025,12,3014,16285,-1.3401040402820683,1.0044790975447904,3.7560721183955126,729,24.19,2285,75.81,5.536164565361648,Burkina Faso
BN,2026,1,1544,9052,-2.064533363368353,0.46865284974093263,4.361216869418588,426,27.59,1118,72.41,5.961787564766838,Benin
CM,2026,1,2651,15631,-1.085002789439476,1.301584307808374,4.38498842107475,506,19.09,2145,80.91,5.938136552244436,Cameroun
GH,2026,1,21228,110223,-0.4189653491559546,0.8737657810439042,4.790660208308133,4824,22.72,16404,77.28,5.282457132089695,Ghana
NG,2026,1,3223,18151,-4.15101149653178,-1.4449581135587963,4.345876972670825,1446,44.87,1777,55.13,5.710828420726033,Niger
NI,2026,1,92111,392909,-2.1315016550118537,-0.0029301603500126016,4.72067462335726,28491,30.93,63620,69.07,4.32059146030333,Nigeria
TO,2026,1,785,5164,-1.9052605669045335,1.2789808917197452,4.395607783257067,181,23.06,604,76.94,6.741401273885351,Togo
UV,2026,1,1843,12114,-1.9003589293857626,0.624036896364623,4.521968549424925,536,29.08,1307,70.92,6.704829083016819,Burkina Faso
BN,2026,2,1730,9597,-2.6126725076889192,0.04780346820809224,4.763624698596319,513,29.65,1217,70.35,5.65028901734104,Benin
CM,2026,2,3349,21023,-1.6631921354021049,1.4308151687070765,4.635878657388999,632,18.87,2717,81.13,6.362197670946552,Cameroun
GH,2026,2,25106,131602,-0.4635055448126461,1.0262287899306934,4.712651617781449,5171,20.6,19935,79.4,5.33677208635386,Ghana
NG,2026,2,3685,21282,-3.754896880630892,-0.6454816824966079,4.767745397938994,1356,36.8,2329,63.2,5.865671641791044,Niger
NI,2026,2,98340,428141,-2.2314736330748857,0.00013321130770790716,4.880027193904789,29440,29.94,68900,70.06,4.416758185885703,Nigeria
TO,2026,2,779,5313,-0.5515516231298825,1.7940949935815154,3.8743264728576126,126,16.17,653,83.83,6.99614890885751,Togo
UV,2026,2,2358,13585,-2.1082839394751973,0.300551314673452,4.374235413291539,660,27.99,1698,72.01,5.881679389312977,Burkina Faso
BN,2026,3,1453,8817,-1.647332939814516,0.16510667584308333,4.650324188920217,424,29.18,1029,70.82,6.156916724019272,Benin
CM,2026,3,3416,20770,-1.1122869203254104,1.4825526932084303,3.9911985070492144,580,16.98,2836,83.02,6.2019906323185,Cameroun
GH,2026,3,19846,108109,0.03769639448912187,1.2683513050488764,4.644473874229674,3859,19.44,15987,80.56,5.546105008565958,Ghana
NG,2026,3,2229,13383,-2.099164070215433,0.04513234634365176,4.77052364804243,699,31.36,1530,68.64,6.115746971736205,Niger
NI,2026,3,95716,423735,-1.5454765847932426,0.22112499477621292,4.965502474676961,26789,27.99,68927,72.01,4.5015462409628455,Nigeria
TO,2026,3,674,4757,0.34743179001269026,1.678041543026706,4.1570155995409275,112,16.62,562,83.38,7.183976261127597,Togo
UV,2026,3,1332,9046,-1.2895758135139161,0.9621621621621621,4.3594178170274285,292,21.92,1040,78.08,6.981981981981982,Burkina Faso
BN,2026,4,1965,10741,-1.733437973736691,0.40254452926208645,4.549366471939587,531,27.02,1434,72.98,5.631552162849874,Benin
