annee,mois,pays_partenaire,nb_interactions,qualite_relation,ton_moyen,nb_cooperation,nb_conflits,visibilite_mediatique,pays_nom
2025,5,CHN,13,0.07692307692307698,3.4899826861241703,9,4,52,Chine
2025,5,GHA,1,6.4,-1.67224080267558,1,0,2,Ghana
2025,5,NER,2,-4.6,-5.256584922797455,0,2,15,Niger
2025,5,NGA,6,5.8,4.890252442377384,6,0,14,Nigeria
2025,5,TGO,1,1.0,2.39234449760765,1,0,10,Togo
2025,6,BFA,6,-7.333333333333334,-6.574436542002657,0,6,45,Burkina Faso
2025,6,CHN,3,2.4999999999999996,6.04133545310016,3,0,6,Chine
2025,6,CIV,2,7.0,-3.2983508245877,2,0,20,Cote d'Ivoire
2025,6,FRA,14,0.8285714285714285,-2.8144767157350037,11,3,84,France
2025,6,GHA,23,2.369565217391304,5.55143627833246,23,0,62,Ghana
2025,6,NER,43,-1.0674418604651161,-4.618394798915971,17,26,259,Niger
2025,6,NGA,50,0.9620000000000001,-0.35217455169147766,38,12,142,Nigeria
2025,6,TGO,1,0.0,-7.49128919860631,1,0,10,Togo
2025,7,BFA,10,-5.6,-3.894934518816312,0,10,27,Burkina Faso
2025,7,CHN,64,1.771875,1.9463598713630748,57,7,250,Chine
2025,7,CIV,24,1.416666666666667,-8.04042331571106,14,10,78,Cote d'Ivoire
2025,7,FRA,62,2.7129032258064516,-0.17799737072547475,62,0,269,France
2025,7,GHA,21,2.533333333333333,-2.662292655782108,17,4,84,Ghana
2025,7,NER,24,-3.6375000000000006,-4.562437157284758,7,17,92,Niger
2025,7,NGA,129,0.949612403100775,-0.9359048439423506,103,26,387,Nigeria
2025,7,SEN,23,2.3695652173913038,1.3651847982333383,23,0,184,Senegal
2025,7,TGO,22,1.390909090909091,-4.412464386014813,12,10,75,Togo
2025,8,CHN,3,0.13333333333333375,0.06955410181216348,2,1,16,Chine
2025,8,CIV,11,-0.01818181818181852,-2.4816101990660364,8,3,22,Cote d'Ivoire
2025,8,FRA,31,2.093548387096774,-1.1474094339938485,29,2,138,France
2025,8,GHA,25,2.4039999999999995,1.8218394616219387,23,2,91,Ghana
2025,8,NER,22,1.1318181818181818,-5.385043208949525,17,5,102,Niger
2025,8,NGA,78,0.8025641025641027,-0.7069373643996432,60,18,230,Nigeria
2025,8,SEN,6,2.35,-0.38387715930902,6,0,6,Senegal
2025,8,TGO,2,-8.5,-0.83160083160083,0,2,6,Togo
2025,9,BFA,15,1.2800000000000002,-2.2761832696699944,11,4,70,Burkina Faso
2025,9,CHN,2,6.4,2.04638472032742,2,0,5,Chine
2025,9,CIV,17,2.5882352941176467,0.3717733151444025,17,0,48,Cote d'Ivoire
2025,9,FRA,10,3.2199999999999998,-1.081521540863553,9,1,66,France
2025,9,GHA,26,3.5538461538461537,0.7409216436882877,23,3,89,Ghana
2025,9,NGA,111,0.17297297297297295,-1.848009547132306,82,29,339,Nigeria
2025,9,SEN,12,1.6749999999999998,1.05263157894737,12,0,34,Senegal
2025,9,TGO,20,-2.5349999999999997,-2.3464887164393167,11,9,72,Togo
2025,10,BFA,4,1.5,-1.2784096941955423,3,1,18,Burkina Faso
2025,10,CHN,9,6.333333333333334,0.6304550506714155,9,0,54,Chine
2025,10,CIV,2,-10.0,-6.78851174934726,0,2,10,Cote d'Ivoire
2025,10,FRA,25,2.1879999999999997,-1.1090933565886736,23,2,129,France
2025,10,GHA,21,1.3047619047619048,0.0019879978365029416,16,5,55,Ghana
2025,10,NER,12,3.558333333333333,-0.9551999566927636,10,2,65,Niger
2025,10,NGA,112,0.5187500000000002,1.4024739348530304,89,23,323,Nigeria
2025,10,SEN,10,2.01,-0.0993934680131019,9,1,38,Senegal
2025,10,TGO,30,3.546666666666667,-0.6896238046590348,27,3,77,Togo
2025,11,BFA,20,-4.74,-4.640241218745654,6,14,72,Burkina Faso
2025,11,CHN,17,3.9235294117647053,6.19187389493986,17,0,97,Chine
2025,11,FRA,13,1.5,-0.023140349099073254,12,1,50,France
2025,11,GHA,10,2.8899999999999997,1.6945732838589922,10,0,74,Ghana
2025,11,NER,21,-3.8571428571428568,-5.79557964049835,7,14,101,Niger
2025,11,NGA,125,0.9304000000000002,-0.7205957641731319,98,27,366,Nigeria
2025,11,SEN,10,-0.1900000000000004,-4.14755350260835,6,4,32,Senegal
2025,11,TGO,11,-6.463636363636363,-3.2473168972196564,3,8,45,Togo
