semaine,source_type,periode,nb_evenements,ton_moyen,goldstein_moyen,nb_articles,pct_conflits
2025-05-26/2025-06-01,international,Periode_normale,199,-0.21828071092816226,1.0140703517587941,1208,23.12
2025-05-26/2025-06-01,regional,Periode_normale,5,-1.520298738573804,-0.5199999999999999,21,40.0
2025-06-02/2025-06-08,international,Periode_normale,529,-2.352793326327475,-0.021550094517958446,2991,31.38
2025-06-02/2025-06-08,local,Periode_normale,3,1.7964288296103499,3.9,30,0.0
2025-06-02/2025-06-08,regional,Periode_normale,34,-2.9762208527061373,1.6911764705882353,202,14.71
2025-06-09/2025-06-15,international,Periode_normale,484,-0.5863182879889131,1.4481404958677686,2615,19.21
2025-06-09/2025-06-15,local,Periode_normale,5,2.892014998615908,1.86,100,0.0
2025-06-09/2025-06-15,regional,Periode_normale,9,-3.64166572326874,1.4555555555555555,69,22.22
2025-06-23/2025-06-29,international,Periode_normale,3,-2.6520180072377433,2.6999999999999997,16,0.0
2025-06-30/2025-07-06,international,Periode_normale,400,0.4030193468749411,0.7025,1982,21.0
2025-06-30/2025-07-06,local,Periode_normale,1,3.63636363636363,7.4,10,0.0
2025-06-30/2025-07-06,regional,Periode_normale,23,-0.7839956042436758,4.4739130434782615,106,17.39
2025-07-07/2025-07-13,international,Periode_normale,526,-1.0975090121756201,0.8049429657794677,2719,22.62
2025-07-07/2025-07-13,local,Periode_normale,3,2.1983640081799565,2.3333333333333335,40,0.0
2025-07-07/2025-07-13,regional,Periode_normale,26,-3.1955239192389637,3.9076923076923076,130,3.85
2025-07-14/2025-07-20,international,Periode_normale,800,-1.346654984586528,1.2646249999999999,3838,20.75
2025-07-14/2025-07-20,local,Periode_normale,6,6.1325083016091115,4.8500000000000005,70,0.0
2025-07-14/2025-07-20,regional,Periode_normale,48,-3.6105049444696395,2.0625,247,22.92
2025-07-21/2025-07-27,international,Periode_normale,503,-1.819082040868293,0.38389662027832994,2564,26.44
2025-07-21/2025-07-27,local,Periode_normale,4,4.9204118448144225,1.7,70,0.0
2025-07-21/2025-07-27,regional,Periode_normale,18,-1.378600833768526,0.9777777777777779,139,16.67
2025-07-28/2025-08-03,international,Periode_normale,512,0.20290939756030305,1.5693359375,2857,17.77
2025-07-28/2025-08-03,local,Periode_normale,5,5.591630591630595,2.3,70,0.0
2025-07-28/2025-08-03,regional,Periode_normale,8,-0.021618282875679976,0.6125,61,25.0
2025-08-04/2025-08-10,international,Periode_normale,421,-1.1544151926849504,1.3197149643705464,2244,22.33
2025-08-04/2025-08-10,regional,Periode_normale,24,0.10564346687120911,4.5125,100,0.0
2025-08-11/2025-08-17,international,Periode_normale,252,-1.9599095170480245,1.1765873015873016,1411,25.4
2025-08-11/2025-08-17,regional,Periode_normale,2,-1.46877404062736,0.3,20,0.0
2025-08-18/2025-08-24,international,Periode_normale,385,-2.710945731131662,-0.18987012987012988,2087,33.77
2025-08-18/2025-08-24,local,Periode_normale,11,2.2387423273682425,3.4181818181818184,210,0.0
2025-08-18/2025-08-24,regional,Periode_normale,1,-5.0561797752809,7.0,10,0.0
2025-08-25/2025-08-31,international,Periode_normale,417,-1.5412396676965574,0.8508393285371703,2178,22.06
2025-08-25/2025-08-31,local,Periode_normale,1,6.18556701030928,0.0,10,0.0
2025-08-25/2025-08-31,regional,Periode_normale,6,2.409970680702685,1.6166666666666665,58,16.67
2025-09-01/2025-09-07,international,Periode_normale,368,-1.0963914284783935,0.23342391304347823,1897,28.53
2025-09-01/2025-09-07,local,Periode_normale,6,6.208417068269177,3.8166666666666664,110,0.0
2025-09-01/2025-09-07,regional,Periode_normale,17,-3.574602851447304,0.052941176470588255,113,29.41
2025-09-08/2025-09-14,international,Periode_normale,335,-1.7058512261738392,0.14925373134328357,1749,27.46
2025-09-08/2025-09-14,local,Periode_normale,6,4.622502725084918,2.3000000000000003,100,0.0
2025-09-08/2025-09-14,regional,Periode_normale,20,1.5176357928362532,2.08,157,15.0
2025-09-15/2025-09-21,international,Periode_normale,381,-0.5192507953060537,1.3619422572178477,2069,20.47
2025-09-15/2025-09-21,local,Periode_normale,9,5.88928468244154,2.933333333333333,88,0.0
2025-09-15/2025-09-21,regional,Periode_normale,9,0.41001947404980776,1.2888888888888888,61,33.33
2025-09-22/2025-09-28,international,Periode_normale,581,-1.0455518885948225,0.9392426850258174,2842,19.79
2025-09-22/2025-09-28,local,Periode_normale,9,2.284041070102062,2.6444444444444444,80,11.11
2025-09-22/2025-09-28,regional,Periode_normale,19,-0.9367263721103793,4.88421052631579,102,5.26
2025-09-29/2025-10-05,international,Periode_normale,533,-0.07583361936023593,1.096810506566604,2628,19.14
2025-09-29/2025-10-05,local,Periode_normale,2,2.89855072463768,2.3499999999999996,40,0.0
2025-09-29/2025-10-05,regional,Periode_normale,17,-1.1615245918997288,0.0176470588235294,62,29.41
2025-10-06/2025-10-12,international,Periode_normale,418,-0.6157438665106136,0.7021531100478469,2416,24.88
2025-10-06/2025-10-12,local,Periode_normale,6,4.191147741147741,3.9499999999999997,108,0.0
2025-10-06/2025-10-12,regional,Periode_normale,3,1.36280955394914,-1.2666666666666668,21,33.33
2025-10-13/2025-10-19,international,Periode_normale,336,1.2178729007309388,1.6428571428571428,1939,13.99
2025-10-13/2025-10-19,local,Periode_normale,7,4.787021220400859,3.8428571428571425,130,0.0
2025-10-13/2025-10-19,regional,Periode_normale,3,-2.07441648119614,-3.3333333333333335,20,33.33
2025-10-20/2025-10-26,international,Periode_normale,275,-0.12305284503092455,1.5574545454545454,1701,14.91
2025-10-20/2025-10-26,local,Periode_normale,7,5.281810679440251,4.628571428571428,130,14.29
2025-10-20/2025-10-26,regional,Periode_normale,3,-0.7065299935911066,-1.3333333333333333,30,66.67
2025-10-27/2025-11-02,international,Periode_normale,450,-0.7674796108900588,1.218222222222222,2571,21.33
2025-10-27/2025-11-02,local,Periode_normale,12,4.31740831924718,1.6916666666666667,182,16.67
2025-10-27/2025-11-02,regional,Periode_normale,14,3.389118752221338,1.9357142857142857,100,7.14
2025-11-03/2025-11-09,international,Periode_normale,537,-1.0693290192542426,-0.008007448789571702,2952,30.35
2025-11-03/2025-11-09,local,Periode_normale,7,1.1505396012438258,2.8428571428571425,140,0.0
2025-11-03/2025-11-09,regional,Periode_normale,20,-4.446600554885423,-3.05,66,70.0
2025-11-10/2025-11-16,international,Periode_normale,577,-0.17006801675179517,0.5852686308492201,3080,24.78
2025-11-10/2025-11-16,local,Periode_normale,2,2.36299042588881,-1.75,30,50.0
2025-11-10/2025-11-16,regional,Periode_normale,41,0.06390839477968444,1.7219512195121949,252,14.63
2025-11-17/2025-11-23,international,Periode_normale,341,-0.5223476708451407,0.9838709677419355,1920,16.13
2025-11-17/2025-11-23,local,Periode_normale,11,2.8560090234680855,2.3636363636363638,168,0.0
2025-11-17/2025-11-23,regional,Periode_normale,27,3.6294488527869846,1.3888888888888888,127,7.41
2025-11-24/2025-11-30,international,Periode_normale,313,-1.3964679143175873,1.4677316293929712,1747,18.53
2025-11-24/2025-11-30,local,Periode_normale,7,4.608628788624213,0.6714285714285714,110,14.29
2025-11-24/2025-11-30,regional,Periode_normale,32,-1.4931386564792561,0.03437499999999996,124,28.12
2025-12-01/2025-12-07,international,CoupEtat_Dec2025,892,-2.7530423752840507,-0.5132286995515695,5982,36.21
2025-12-01/2025-12-07,international,Periode_normale,212,-1.2027877650372438,1.1712264150943394,1129,23.11
2025-12-01/2025-12-07,local,CoupEtat_Dec2025,3,4.23728813559322,2.2666666666666666,30,0.0
2025-12-01/2025-12-07,local,Periode_normale,3,2.9231337363693934,1.5999999999999999,50,33.33
2025-12-01/2025-12-07,regional,CoupEtat_Dec2025,4,-3.1375445368171024,-2.75,34,100.0
2025-12-08/2025-12-14,international,CoupEtat_Dec2025,2378,-2.657105657814586,0.4528174936921783,12220,29.69
2025-12-08/2025-12-14,local,CoupEtat_Dec2025,1,9.50819672131147,3.0,20,0.0
2025-12-08/2025-12-14,regional,CoupEtat_Dec2025,193,-2.3370755524205826,0.2699481865284974,1002,30.57
2025-12-15/2025-12-21,international,CoupEtat_Dec2025,180,-2.0109492905771735,0.7588888888888888,871,26.67
2025-12-15/2025-12-21,international,Periode_normale,509,-2.362118476808599,0.18428290766208252,2651,33.6
2025-12-15/2025-12-21,regional,CoupEtat_Dec2025,10,-4.961244181955549,-2.31,72,60.0
2025-12-15/2025-12-21,regional,Periode_normale,66,-4.226206877525242,-1.3242424242424242,319,50.0
2025-12-22/2025-12-28,international,Periode_normale,285,-2.509582685372553,-0.4463157894736842,1660,36.49
2025-12-22/2025-12-28,local,Periode_normale,5,3.709247148963464,4.5,100,0.0
2025-12-22/2025-12-28,regional,Periode_normale,19,-1.0042334183088009,2.121052631578947,114,21.05
2025-12-29/2026-01-04,international,Periode_normale,283,-3.124044392710098,-0.7975265017667845,1619,38.52
2025-12-29/2026-01-04,regional,Periode_normale,11,-0.9904075399349,-0.30909090909090914,57,27.27
2026-01-05/2026-01-11,international,Periode_normale,430,-1.9544192532485805,-0.05441860465116279,2555,34.88
2026-01-05/2026-01-11,local,Periode_normale,2,2.33160621761658,3.2,40,0.0
2026-01-05/2026-01-11,regional,Periode_normale,40,-0.5687508276060462,0.4425,256,40.0
2026-01-12/2026-01-18,international,Periode_normale,490,-2.347636601744896,0.8077551020408164,2663,24.69
2026-01-12/2026-01-18,regional,Periode_normale,15,0.4356121577607,3.1133333333333337,120,13.33
2026-01-19/2026-01-25,international,Periode_normale,298,-1.8350962655983747,0.9171140939597315,1706,23.83
2026-01-19/2026-01-25,local,Periode_normale,3,5.898895888113304,6.333333333333333,50,0.0
2026-01-19/2026-01-25,regional,Periode_normale,16,-0.3606231619578474,0.875,97,12.5
2026-01-26/2026-02-01,international,Periode_normale,460,-2.603632042968481,0.18239130434782608,2340,34.13
2026-01-26/2026-02-01,local,Periode_normale,7,3.272587288276253,2.2285714285714286,92,0.0
2026-01-26/2026-02-01,regional,Periode_normale,8,-6.322473283439198,-0.9125000000000001,45,75.0
2026-02-02/2026-02-08,international,Periode_normale,411,-2.668704035043823,-0.3192214111922141,2334,37.71
2026-02-02/2026-02-08,local,Periode_normale,6,2.510183201375107,2.483333333333333,100,0.0
2026-02-02/2026-02-08,regional,Periode_normale,19,-4.069499145984444,-0.47894736842105273,82,26.32
2026-02-09/2026-02-15,international,Periode_normale,447,-1.3012096055967464,1.2033557046979866,2575,21.92
2026-02-09/2026-02-15,local,Periode_normale,3,0.8769728403323832,2.6999999999999997,60,0.0
2026-02-09/2026-02-15,regional,Periode_normale,35,-2.249016586618401,-1.1885714285714286,123,37.14
2026-02-16/2026-02-22,international,Periode_normale,362,-2.086369165219759,0.3834254143646409,1933,25.41
2026-02-16/2026-02-22,regional,Periode_normale,7,-0.7716986608954745,0.7857142857142857,60,28.57
2026-02-23/2026-03-01,international,Periode_normale,584,-3.0787165011488304,-0.5690068493150685,2881,32.53
2026-02-23/2026-03-01,local,Periode_normale,3,4.89296636085627,1.5666666666666664,60,0.0
2026-02-23/2026-03-01,regional,Periode_normale,26,-3.078781886324691,-1.8269230769230769,137,42.31
2026-03-02/2026-03-08,international,Attaque_Kofouno_Mar2026,299,-1.5260237498800928,-0.07190635451505016,1799,30.43
2026-03-02/2026-03-08,international,Periode_normale,100,-3.1216854947752553,-0.03300000000000004,531,31.0
2026-03-02/2026-03-08,local,Attaque_Kofouno_Mar2026,5,5.382867764754478,4.4399999999999995,90,0.0
2026-03-02/2026-03-08,regional,Attaque_Kofouno_Mar2026,21,-5.928603450717252,-0.7285714285714285,133,28.57
2026-03-09/2026-03-15,international,Attaque_Kofouno_Mar2026,87,-1.6481252595037936,0.2620689655172414,551,28.74
2026-03-09/2026-03-15,international,Periode_normale,233,-1.4320027466901395,0.6472103004291846,1391,24.89
2026-03-09/2026-03-15,regional,Attaque_Kofouno_Mar2026,6,1.944753108444708,5.45,50,0.0
2026-03-09/2026-03-15,regional,Periode_normale,3,-6.710529834978186,-3.6666666666666665,30,66.67
2026-03-16/2026-03-22,international,Periode_normale,427,-1.2714573075930833,0.3063231850117096,2575,29.04
2026-03-16/2026-03-22,local,Periode_normale,4,6.341308884913532,2.55,60,0.0
2026-03-16/2026-03-22,regional,Periode_normale,17,-1.6696843785829265,1.9352941176470588,141,11.76
2026-03-23/2026-03-29,international,Periode_normale,314,-1.0115888055780773,-0.34299363057324844,1626,28.03
2026-03-23/2026-03-29,local,Periode_normale,1,5.56792873051225,0.0,20,0.0
2026-03-23/2026-03-29,regional,Periode_normale,35,1.03020239539277,2.1657142857142855,187,11.43
2026-03-30/2026-04-05,international,Periode_normale,355,-0.4765903992747109,0.7453521126760564,2013,26.76
2026-03-30/2026-04-05,regional,Periode_normale,8,-4.195687108008486,0.050000000000000044,40,25.0
2026-04-06/2026-04-12,international,Periode_normale,477,-1.5422110058453837,0.5767295597484277,2741,21.38
2026-04-06/2026-04-12,regional,Periode_normale,38,-2.087843348574795,2.344736842105263,215,7.89
2026-04-13/2026-04-19,international,Election_Presidentielle,394,-2.489367835652105,-0.18781725888324874,2047,36.55
2026-04-13/2026-04-19,international,Periode_normale,314,-1.3579319738230187,0.6114649681528662,1794,23.89
2026-04-13/2026-04-19,regional,Election_Presidentielle,25,-3.2415153477502816,0.912,116,24.0
2026-04-13/2026-04-19,regional,Periode_normale,43,-0.9251185455879408,0.35116279069767437,234,27.91
2026-04-20/2026-04-26,international,Election_Presidentielle,419,-2.814737392375856,-0.1350835322195704,2081,34.84
2026-04-20/2026-04-26,local,Election_Presidentielle,10,3.5719468071706055,1.65,160,10.0
2026-04-20/2026-04-26,regional,Election_Presidentielle,32,-4.734486036584014,-2.284375,111,62.5
2026-04-27/2026-05-03,international,Election_Presidentielle,230,-1.9115448226112581,0.561304347826087,1241,28.26
2026-04-27/2026-05-03,international,Periode_normale,110,-1.3868470281791678,0.16454545454545452,610,30.0
2026-04-27/2026-05-03,local,Election_Presidentielle,1,2.60545905707196,3.0,10,0.0
2026-04-27/2026-05-03,regional,Election_Presidentielle,15,-4.5731379360815145,0.3133333333333333,60,20.0
2026-04-27/2026-05-03,regional,Periode_normale,1,-1.04529616724739,3.0,10,0.0
2026-05-04/2026-05-10,international,Periode_normale,247,-1.3646490773382067,1.1485829959514169,1441,21.86
2026-05-04/2026-05-10,regional,Periode_normale,34,-1.901957559928784,0.7323529411764705,147,23.53
2026-05-11/2026-05-17,international,Periode_normale,413,-2.5886306912309665,0.19055690072639223,2629,24.46
2026-05-11/2026-05-17,regional,Periode_normale,17,-4.453096469048135,3.0823529411764703,93,5.88
2026-05-18/2026-05-24,international,Periode_normale,456,-0.621215840178689,0.26228070175438595,2381,28.73
2026-05-18/2026-05-24,regional,Periode_normale,13,-0.7758109292668269,2.161538461538462,81,15.38
2026-05-25/2026-05-31,international,Periode_normale,232,-1.1971962654307475,0.43922413793103443,1462,27.59
2026-05-25/2026-05-31,local,Periode_normale,7,3.3105204557930215,-0.8285714285714285,80,28.57
2026-05-25/2026-05-31,regional,Periode_normale,25,-0.13976249085434633,0.96,107,24.0
