SQLDATE,date,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,EventCode,EventLabel,QuadClass,GoldsteinScale,NumMentions,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SourceDomain,GKG_Themes,GKG_NumThemes,GKG_Persons,GKG_NumPersons,GKG_Organizations,GKG_NumOrgs,GKG_V2Tone_Positive,GKG_V2Tone_Negative,GKG_V2Tone_Polarity,GKG_V2Tone_ActivityDensity,GKG_V2Tone_SelfGroupDensity,GKG_V2Tone_WordCount,GCAM_Anger,GCAM_Fear,GCAM_Joy,GCAM_Sadness,GCAM_Trust,GCAM_Surprise,GCAM_DominantEmotion,GKG_DocumentIdentifier,GKG_HasImage,GKG_Language,GKG_IsTranslated,QuadLabel,IsConflict,IsNegative,MediaWeight,ZoneBenin,DepartementBenin,PopulationVille,IsNorthBenin,SourceType,GoldsteinNorm,ToneNorm,month,GKG_ThemeConflict,GKG_ThemeEconomy,GKG_ThemeGovern,GKG_ThemeHumanDev,GKG_ThemeEnviro,GKG_ToneGap,GKG_EmotionIntensity,ToneCategory,GoldsteinBin
20250429,2025-04-29,Gouvernement du Benin,BN,Societe civile,BN,040,Consultation diplomatique,1,2.71,11,1,1.05,Dassa-Zoume,BN,7.75,2.1833,gouv.bj,EAU_ASSAINISSEMENT,1,Candide Azannaï;Alassane Seidou,2,Port Autonome de Cotonou (PAC);CNSS (Securite sociale);HAAC (Haute Autorite),3,2.91,0.04,2.95,3.14,1.77,285,0.029,0.007,5.186,0.054,1.417,0.965,Joy,https://www.gouv.bj/actualite/evt-90043,0,fra,0,Cooperation verbale,0,0,11,Centre,Collines,113000,0,Officiel,0.6355,0.5262,2025-04,0,0,0,1,0,2.87,7.658,Neutre,Neutre
20250226,2025-02-26,Gouvernement du Benin,BN,Paysans / Producteurs coton,BN,170,Coercition,4,-4.58,6,4,0.87,Savalou,BN,7.9303,1.9754,beninwebtv.com,MIGRATION,1,Nicephore Soglo;Samou Seidou Adambi,2,,0,0.3,8.99,9.29,0.3,0.79,2645,1.591,4.257,0.08,0.01,2.065,2.39,Fear,https://beninwebtv.com/2025/02/26/evt-28869,0,fra,0,Conflit materiel,1,0,24,Centre,Collines,144000,0,Web TV,0.271,0.5218,2025-02,0,0,0,0,0,-8.69,10.393,Neutre,Destabilisant
20250707,2025-07-07,Parti Forces Cauris,BN,Societe civile,BN,100,Demande,1,2.75,15,5,0.98,Cotonou,BN,6.3654,2.4183,lanouvelletribune.bj,REFORME_CONSTITUTIONNELLE;FINANCE;INONDATIONS;CLIMATE,4,Boni Yayi;Sebastien Ajavon,2,Assemblee Nationale du Benin,1,2.25,0.34,2.59,2.79,0.01,2036,0.144,0.139,0.507,0.947,2.023,1.436,Trust,https://lanouvelletribune.bj/benin/evt-37464,1,fra,0,Cooperation verbale,0,0,75,Sud,Littoral,679000,0,Presse en ligne,0.6375,0.5245,2025-07,0,1,1,0,1,1.91,5.196,Neutre,Neutre
20250221,2025-02-21,Gouvernement du Benin,BN,Assemblee Nationale,BN,061,Aide economique,2,-0.96,5,1,0.61,Bassila,BN,9.01,1.66,agencebeninpresse.bj,HEALTH;UNIVERSITE_ABOMEY_CALAVI;EAU_ASSAINISSEMENT,3,Yvon Detegnon,1,Police Republicaine du Benin;Ministere des Finances (MEF);Bloc Republicain (BR),3,4.22,1.51,5.73,9.92,1.33,2442,0.102,0.068,0.224,0.434,1.611,0.214,Trust,https://agencebeninpresse.bj/evt-62709,1,fra,0,Cooperation materielle,0,0,5,Nord,Donga,100000,1,Agence officielle,0.452,0.5152,2025-02,0,0,0,1,0,2.71,2.653,Neutre,Leg. negatif
20250313,2025-03-13,Mairie / Elus locaux,BN,Etudiants / UAC,BN,012,Decl. de soutien,1,-1.51,9,3,5.64,Abomey,BN,7.1856,1.9861,beninrevele.bj,EAU_ASSAINISSEMENT;FOOD_SECURITY;HEALTH,3,Samou Seidou Adambi;Nicephore Soglo;Adrien Houngbedji,3,Bloc Republicain (BR);INSAE (Statistiques),2,9.88,3.2,13.08,2.6,1.15,2130,0.235,0.126,1.409,0.577,3.466,1.019,Trust,https://beninrevele.bj/actualite/evt-48683,1,fra,0,Cooperation verbale,0,0,27,Centre,Zou,87000,0,Site gouv.,0.4245,0.641,2025-03,1,0,0,1,1,6.68,6.832,Tres positif,Leg. negatif
20250829,2025-08-29,Assemblee Nationale,BN,Police Republicaine,BN,012,Decl. de soutien,1,0.72,10,1,-1.22,Abomey-Calavi,BN,6.4484,2.3552,fraternite.bj,EDUCATION;MIGRATION;POVERTY,3,,0,CNSS (Securite sociale);Police Republicaine du Benin,2,2.71,1.38,4.09,1.82,0.41,2160,0.539,0.168,2.778,0.011,0.699,1.029,Joy,https://fraternite.bj/article/evt-15582,1,fra,0,Cooperation verbale,0,1,10,Sud,Atlantique,757000,0,Presse en ligne,0.536,0.4695,2025-08,0,0,0,1,0,1.33,5.224,Neutre,Neutre
20251120,2025-11-20,Parti Forces Cauris,BN,Gouvernement du Benin,BN,010,Declaration publique,1,3.39,10,3,0.52,Nikki,BN,9.94,3.21,ortb.bj,INONDATIONS;CORRUPTION,2,Boni Yayi,1,SONEB (Eau),1,1.46,1.45,2.91,2.5,2.38,555,0.66,0.105,2.847,0.0,6.21,1.022,Trust,https://ortb.bj/actualite/evt-57613,0,fra,0,Cooperation verbale,0,0,30,Nord,Borgou,152000,1,Media public,0.6695,0.513,2025-11,0,0,0,0,1,0.01,10.844,Neutre,Stabilisant
20250410,2025-04-10,Gouvernement du Benin,BN,Mairie / Elus locaux,BN,130,Protestation,3,-4.6,13,3,-2.12,Abomey-Calavi,BN,6.4484,2.3552,fraternite.bj,SECURITY;ENERGIE_ELECTRIFICATION;GOVERNMENT,3,Samou Seidou Adambi,1,,0,3.71,20.0,23.71,0.7,1.48,1988,0.394,3.0,0.385,2.17,1.348,1.253,Fear,https://fraternite.bj/article/evt-45170,1,fra,0,Conflit verbal,1,1,39,Sud,Atlantique,757000,0,Presse en ligne,0.27,0.447,2025-04,1,0,1,1,0,-16.29,8.55,Negatif,Destabilisant
20251204,2025-12-04,Cour Constitutionnelle,BN,Presidence de la Republique,BN,061,Aide economique,2,-0.56,3,4,0.98,Savalou,BN,7.9303,1.9754,24haubenin.info,INFRASTRUCTURE;CRIME;TOURISME_BENIN,3,Adrien Houngbedji;Joseph Djogbenou,2,AIC (Coton);ORTB (Radio-Television),2,5.41,5.98,11.39,3.57,1.18,651,0.181,0.322,0.779,0.743,6.306,0.027,Trust,https://24haubenin.info/?evt-21210,1,fra,0,Cooperation materielle,0,0,12,Centre,Collines,144000,0,Presse en ligne,0.472,0.5245,2025-12,1,1,0,0,0,-0.57,8.358,Neutre,Leg. negatif
20250604,2025-06-04,Parti Bloc Republicain,BN,Assemblee Nationale,BN,071,Aide humanitaire,2,4.94,9,6,-1.88,Cotonou,BN,6.3654,2.4183,lanouvelletribune.bj,CRIME;PROTEST;COMMERCE_NIGERIA,3,Mathys Adidjatou;Yvon Detegnon,2,Parti du Renouveau Democratique,1,1.23,0.35,1.58,1.2,0.18,2844,0.933,0.009,3.033,0.301,0.252,0.491,Joy,https://lanouvelletribune.bj/benin/evt-83440,1,fra,0,Cooperation materielle,0,1,54,Sud,Littoral,679000,0,Presse en ligne,0.747,0.453,2025-06,1,1,0,0,0,0.88,5.019,Neutre,Stabilisant
